Artist,Album,Genre,Source,Tweet Review,Reviewer,Date Reviewed,AOTM
Arcturus,The Sham Mirrors,Avant-garde metal,Spotify,Sci-fi Twin Peaks Metal,Joey,7/1/2014,
White Lung,Deep Fantasy,Punk,Spotify,Awesome,Matt,7/1/2014,
Cynic,Focus,Jazz metal,Spotify,Virtuosic,Chris,7/1/2014,
Solanaceae,Solanaceae,Neofolk,Spotify,Narrative,Phil,7/1/2014,
The New Sound of Numbers,Invisible Magnetic,Alternative,Spotify,Poppy Elephant Six,Zach,7/1/2014,
AIDS Wolf,Ma vie banale avant-garde,Noise rock,Spotify,Maximum No-wave,Zach,7/1/2014,
Demented Are Go,Orgasmic Nightmare,Psychobilly,Spotify,Genre-Bending,Mike,7/1/2014,
Circulatory System,Mosaics Within Mosaics,Psychedelic rock,Spotify,Textured,Nick,7/1/2014,
Rubaiyat of Dorothy Ashby,Dorothy Ashby,Funk/Jazz,Grooveshark,"Interesting instruments, good for backround, cool.",Turk,7/1/2014,
The Soft Boys,Underwater Moonlight,Neo-psychedelia,Spotify,Happy Pop Syd Barrett,Joey,7/2/2014,
Trap Them,Blissfucker,Death Metalcore,Spotify,"Generic, not bad",Matt,7/2/2014,
Otto Dix,Wonderful Days,Darkwave,Spotify,Conveys emotional regret,Phil,7/2/2014,
The Ex,Turn,Jazz anarcho-punk,Spotify,"Too long, otherwise good",Chris,7/2/2014,
Leftöver Crack,Mediocre Generica,Punk,Spotify,Eclectic,Nick,7/2/2014,
And Also The Trees,Virus Meadow,Post Punk,Grooveshark,Goth rock post-punk,Mike,7/2/2014,
Gang Gang Dance,Saint Dymphna,Experimental Rock,Spotify,"Great, layered",Zach,7/2/2014,
Naked City,Torture Garden,Jazzcore,Grooveshark,Chaotic,Nick,7/2/2014,
Deltron 3030,Deltron 3030,Space Rap,Spotify,"Great flow/lyrics, bad hooks, Suuuper fun",Turk,7/2/2014,
Boredoms,Vision Creation Newsum,Experimental Rock,Spotify,"Dreamlike, chaotic",Joey,7/3/2014,*****************
Konono Nº1,Congotronics,Electric Congolese,Spotify,"Pleasant, catchy",Chris,7/3/2014,
Julianna Barwick,Nepenthe,Ambient Folk,Spotify,Relaxing,Phil,7/3/2014,
