Artist,Album,Genre,Source,Tweet Review,Reviewer,Date Reviewed,Rating (0-3),AOTM
Amon Düül II,Yeti,Progressive/Krautrock,Spotify,"Complex in the best way, extremely influential",Joey,7/1/2015,2,
Khann,Tofutopia,Hardcore/Varied,Spotify,"Bonkers, fun, grindy, good",Matt,7/1/2015,3,
Amebix,Arise,Crust,Spotify,Metal+Punk=Crust,Phil,7/1/2015,1,
dälek,Absence,Industrial hip-hop,Spotify,Good at industrial and hip-hop. Good all around.,Chris,7/1/2015,2,
Gobble Gobble,Neon Graveyard,electronica/varied,Spotify,"folky/noisy at times, great variation, distorted vocals, very good",Stephen,7/1/2015,3-,
Camel,The Snow Goose,Prog/Symphonic Rock,Spotify,Pretty good. Delivered promised prog/symphonic rock.,Polio,7/1/2015,2,"?? ?? ? ????????? ?????(MASS OF THE FERMENTING DREGS)","??????????????
(Zero comma, iro toridori no sekai)",Noise rock/Post-hardcore,Spotify,Loads of fun. Fantastic vocals.,Joey,7/2/2015,2+,
Antisect,Out From The Void,Crust,Youtube,Short but strong for it,Phil,7/2/2015,2-,
Actress,Hazyville,Experimental Dance,Spotify,Kind of meanders about. Listen to Oneohtrix Point Never instead.,Matt,7/2/2015,0+,
The Psychic Paramount,II,Experimental Rock,Spotify,"Rhythmically fascinating. Good noise, good groove, great drums.",Chris,7/2/2015,2+,
The World/Inferno Friendship Society,Addicted to Bad Ideas: Peter Lorre's Twentieth Century,Punk Cabaret,Spotify,"Delightfully odd mix of punk, klezmer, pop, and jazz. Great brass section.",Polio,7/2/2015,2+,
The Bronx,The Bronx,Psuedo-hardcore punk,Spotify,good guitar + good vocals. Thumbs up,Stephen,7/2/2015,3,
Jim Guthrie,Sword & Scorcery EP,Video game soundtrack,Spotify,"Emotional Variety, strage without context(just for me probably)",Stephen,7/3/2015,2,
Todd Terje,It's Album Time,Disco house,Spotify,Infectiously catchy,Joey,7/3/2015,3+,
Shining,Blackjazz,Uhh...,Spotify,"Fantastically uncategorizable, technical, great",Joey,7/3/2015,3+,*******
Ornette Coleman,The Shape of Jazz to Come,Free Jazz,Spotify,Better than I expected.,Polio,7/3/2015,2,
American Football,American Football,Emo Math,Spotify,"Casually, pleasantly somber and mathy.",Chris,7/3/2015,2+,
Gelatinus Cube,The New Corn,Psych Rock,Spotify,Probably good if you like that kind of thing. I liked a couple. ,Matt,7/3/2015,0+,
Klaus Nomi,Klaus Nomi,New wave,YouTube,"Intentionally weird, but alright",Joey,7/4/2015,1,
Celeste,Misanthrope (S),Hardcore/Sludge,Spotify,"Amazing finish, hates you and everything you are",Matt,7/4/2015,3,
Cloakroom,Infinity,Doom/Postrock,Spotify,Exelect blend of postrock/doom. ,Nick,7/4/2015,3,
"Football, Etc.",The Draft,Emo,Spotify,Female fronted and a pleasent listen.,Nick,7/4/2015,2,
Man is The Bastard,D.I.Y.C.D.,Power Violence,Spotify,Brutal on both ends with droney parts in the middle.,Nick,7/4/2015,2,
Onionoise,The Vegetable Orchestra,Experimental Vegetable Music?,Spotify,Interesting. Decent for veggies. Worth one listen. ,Polio,7/4/2015,1,
A Place to Bury Strangers,A Place to Bury Strangers,Noisy shoegaze,Spotify,Echo and The Bunnymen + MBV = A Place to Bury Strangers,Chris,7/4/2015,2+,
Pizzicato five,Playboy & Playgirl,J-pop+horns,Spotify,"Super fun, poppy, enjoyable",Stephen,7/4/2015,2,
Anathema,Weather Systems,New prog,Spotify,A talented band that makes terrible choices,Joey,7/5/2015,0,
Bobby Womack,The Best of Bobby Womack - The Sould Years,Soul/Funk,Spotify,"Voice good, instrumentations meh, the medleys are solid",Matt,7/5/2015,1+,
The Churchills,?'??'???? (trans: Churchill's) ,Psychedelic Rock,Spotify,Fun. A few songs stand out. Average on the whole.,Polio,7/5/2015,1+,
The Men,Open Your Heart,Eclectic Punk,Spotify,"A personal, creative trip with a noisy shoegaze theme.",Chris,7/5/2015,2+,
Donnie Trumpet & the Social Experiment,Surf,Soul/Rap,Spotify,"Fun indie rap stuffs, horns and great flow.",Stephen,7/5/2015,2,
Renaissance,Scheherazade and Other Stories,Symphonic prog,Spotify,"Well-crafted, pretentious as hell, very pretty",Joey,7/6/2015,2,
Cetus,The Remnant Mass,Experimental Hardcore,Bandcamp,Hardcore with wacky time signatures ,Matt,7/6/2015,2-,
